Stock,Model_R²,BH_Return_%,Strategy_Return_%,Outperformance_%,BH_Sharpe,Strategy_Sharpe,BH_MaxDD_%,Strategy_MaxDD_%
SUNPHARMA,0.9986282175365808,32.7302709097244,10.838331858094975,-21.89193905162943,1.3814286483007183,0.25175821531015224,-15.96229050898911,-26.080635009167384
ITC,0.801965804442277,35.92657810292819,5.824876959971315,-30.10170114295687,1.5635267980154606,-0.011407049338837159,-16.792521191887978,-22.55000924956672
TCS,0.9886382765546512,5.380209463931118,-8.355379268150676,-13.735588732081794,-0.029603404968010893,-0.7012904279098786,-24.97538904821375,-31.112826231012754
RELIANCE,0.9261153767269306,3.3925441718276383,-9.763559945585099,-13.156104117412736,-0.11526747703901113,-0.7600500987860741,-24.455570730867997,-37.89919587917035
MARUTI,0.9949807539963668,14.136060557271435,-14.259437864062773,-28.39549842133421,0.35589096845097,-0.9198005694125302,-24.363508135382382,-53.94905399441704
